User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user16	669	562	1272581995510	0	0	bcc2faa9590190783bd9e28a3a7f
user16	670	563	1272581995526	0	0	bcc2faa9590190783bd9e28a3a7f
user16	669	564	1272581995539	0	0	bcc2faa9590190783bd9e28a3a7f
user16	668	564	1272581995549	0	0	bcc2faa9590190783bd9e28a3a7f
user16	667	564	1272581995560	0	0	bcc2faa9590190783bd9e28a3a7f
user16	666	564	1272581995568	0	0	bcc2faa9590190783bd9e28a3a7f
user16	665	563	1272581995576	0	0	bcc2faa9590190783bd9e28a3a7f
user16	664	563	1272581995632	0	0	bcc2faa9590190783bd9e28a3a7f
user16	664	562	1272581995664	0	0	bcc2faa9590190783bd9e28a3a7f
user16	663	562	1272581995696	0	0	bcc2faa9590190783bd9e28a3a7f
user16	662	561	1272581995720	0	0	bcc2faa9590190783bd9e28a3a7f
user16	661	560	1272581995752	0	0	bcc2faa9590190783bd9e28a3a7f
user16	660	559	1272581995880	0	0	bcc2faa9590190783bd9e28a3a7f
user16	660	558	1272581995952	0	0	bcc2faa9590190783bd9e28a3a7f
user16	660	557	1272581995960	0	0	bcc2faa9590190783bd9e28a3a7f
user16	659	557	1272581995968	0	0	bcc2faa9590190783bd9e28a3a7f
user16	658	555	1272581995976	0	0	bcc2faa9590190783bd9e28a3a7f
user16	658	553	1272581995984	0	0	bcc2faa9590190783bd9e28a3a7f
user16	658	552	1272581995992	0	0	bcc2faa9590190783bd9e28a3a7f
user16	658	549	1272581996000	0	0	bcc2faa9590190783bd9e28a3a7f
user16	658	545	1272581996008	0	0	bcc2faa9590190783bd9e28a3a7f
user16	658	537	1272581996017	0	0	bcc2faa9590190783bd9e28a3a7f
user16	659	527	1272581996024	0	0	bcc2faa9590190783bd9e28a3a7f
user16	662	515	1272581996033	0	0	bcc2faa9590190783bd9e28a3a7f
user16	667	500	1272581996040	0	0	bcc2faa9590190783bd9e28a3a7f
user16	673	478	1272581996048	0	0	bcc2faa9590190783bd9e28a3a7f
user16	683	448	1272581996056	0	0	bcc2faa9590190783bd9e28a3a7f
user16	693	417	1272581996064	0	0	bcc2faa9590190783bd9e28a3a7f
user16	709	381	1272581996072	0	0	bcc2faa9590190783bd9e28a3a7f
user16	726	344	1272581996080	0	0	bcc2faa9590190783bd9e28a3a7f
user16	744	305	1272581996088	0	0	bcc2faa9590190783bd9e28a3a7f
user16	761	268	1272581996096	0	0	bcc2faa9590190783bd9e28a3a7f
user16	776	242	1272581996104	0	0	bcc2faa9590190783bd9e28a3a7f
user16	786	221	1272581996112	0	0	bcc2faa9590190783bd9e28a3a7f
user16	796	203	1272581996120	0	0	bcc2faa9590190783bd9e28a3a7f
user16	805	191	1272581996128	0	0	bcc2faa9590190783bd9e28a3a7f
user16	812	181	1272581996136	0	0	bcc2faa9590190783bd9e28a3a7f
user16	820	171	1272581996144	0	0	bcc2faa9590190783bd9e28a3a7f
user16	827	165	1272581996152	0	0	bcc2faa9590190783bd9e28a3a7f
user16	833	159	1272581996160	0	0	bcc2faa9590190783bd9e28a3a7f
user16	838	155	1272581996169	0	0	bcc2faa9590190783bd9e28a3a7f
user16	843	153	1272581996176	0	0	bcc2faa9590190783bd9e28a3a7f
user16	845	151	1272581996184	0	0	bcc2faa9590190783bd9e28a3a7f
user16	848	151	1272581996192	0	0	bcc2faa9590190783bd9e28a3a7f
user16	850	151	1272581996208	0	0	bcc2faa9590190783bd9e28a3a7f
user16	852	151	1272581996224	0	0	bcc2faa9590190783bd9e28a3a7f
user16	853	151	1272581996264	0	0	bcc2faa9590190783bd9e28a3a7f
user16	855	151	1272581996280	0	0	bcc2faa9590190783bd9e28a3a7f
user16	857	153	1272581996288	0	0	bcc2faa9590190783bd9e28a3a7f
user16	858	155	1272581996296	0	0	bcc2faa9590190783bd9e28a3a7f
user16	858	157	1272581996304	0	0	bcc2faa9590190783bd9e28a3a7f
user16	858	159	1272581996312	0	0	bcc2faa9590190783bd9e28a3a7f
user16	855	164	1272581996320	0	0	bcc2faa9590190783bd9e28a3a7f
user16	853	170	1272581996328	0	0	bcc2faa9590190783bd9e28a3a7f
user16	849	175	1272581996336	0	0	bcc2faa9590190783bd9e28a3a7f
user16	844	180	1272581996344	0	0	bcc2faa9590190783bd9e28a3a7f
user16	839	185	1272581996352	0	0	bcc2faa9590190783bd9e28a3a7f
user16	833	187	1272581996360	0	0	bcc2faa9590190783bd9e28a3a7f
user16	826	190	1272581996368	0	0	bcc2faa9590190783bd9e28a3a7f
user16	818	191	1272581996376	0	0	bcc2faa9590190783bd9e28a3a7f
user16	808	191	1272581996384	0	0	bcc2faa9590190783bd9e28a3a7f
user16	794	189	1272581996392	0	0	bcc2faa9590190783bd9e28a3a7f
user16	779	186	1272581996400	0	0	bcc2faa9590190783bd9e28a3a7f
user16	757	178	1272581996408	0	0	bcc2faa9590190783bd9e28a3a7f
user16	728	165	1272581996416	0	0	bcc2faa9590190783bd9e28a3a7f
user16	697	151	1272581996424	0	0	bcc2faa9590190783bd9e28a3a7f
user16	660	133	1272581996432	0	0	bcc2faa9590190783bd9e28a3a7f
user16	625	111	1272581996440	0	0	bcc2faa9590190783bd9e28a3a7f
user16	587	86	1272581996448	0	0	bcc2faa9590190783bd9e28a3a7f
user16	557	65	1272581996456	0	0	bcc2faa9590190783bd9e28a3a7f
user16	532	45	1272581996464	0	0	bcc2faa9590190783bd9e28a3a7f
user16	512	28	1272581996472	0	0	bcc2faa9590190783bd9e28a3a7f
user16	499	15	1272581996480	0	0	bcc2faa9590190783bd9e28a3a7f
user16	490	6	1272581996488	0	0	bcc2faa9590190783bd9e28a3a7f
user16	608	16	1272581996634	0	0	bcc2faa9590190783bd9e28a3a7f
user16	632	24	1272581996640	0	0	bcc2faa9590190783bd9e28a3a7f
user16	659	30	1272581996648	0	0	bcc2faa9590190783bd9e28a3a7f
user16	684	38	1272581996656	0	0	bcc2faa9590190783bd9e28a3a7f
user16	706	44	1272581996664	0	0	bcc2faa9590190783bd9e28a3a7f
user16	724	48	1272581996672	0	0	bcc2faa9590190783bd9e28a3a7f
user16	736	49	1272581996680	0	0	bcc2faa9590190783bd9e28a3a7f
user16	746	50	1272581996688	0	0	bcc2faa9590190783bd9e28a3a7f
user16	754	50	1272581996696	0	0	bcc2faa9590190783bd9e28a3a7f
user16	758	50	1272581996704	0	0	bcc2faa9590190783bd9e28a3a7f
user16	759	50	1272581996712	0	0	bcc2faa9590190783bd9e28a3a7f
user16	761	50	1272581996720	0	0	bcc2faa9590190783bd9e28a3a7f
user16	762	49	1272581996744	0	0	bcc2faa9590190783bd9e28a3a7f
user16	762	48	1272581996752	0	0	bcc2faa9590190783bd9e28a3a7f
user16	763	47	1272581996760	0	0	bcc2faa9590190783bd9e28a3a7f
user16	764	46	1272581996768	0	0	bcc2faa9590190783bd9e28a3a7f
user16	767	46	1272581996776	0	0	bcc2faa9590190783bd9e28a3a7f
user16	768	43	1272581996784	0	0	bcc2faa9590190783bd9e28a3a7f
user16	771	42	1272581996792	0	0	bcc2faa9590190783bd9e28a3a7f
user16	775	39	1272581996800	0	0	bcc2faa9590190783bd9e28a3a7f
user16	778	37	1272581996808	0	0	bcc2faa9590190783bd9e28a3a7f
user16	782	34	1272581996816	0	0	bcc2faa9590190783bd9e28a3a7f
user16	785	31	1272581996824	0	0	bcc2faa9590190783bd9e28a3a7f
user16	788	29	1272581996832	0	0	bcc2faa9590190783bd9e28a3a7f
user16	789	27	1272581996840	0	0	bcc2faa9590190783bd9e28a3a7f
user16	791	24	1272581996848	0	0	bcc2faa9590190783bd9e28a3a7f
user16	793	22	1272581996856	0	0	bcc2faa9590190783bd9e28a3a7f
user16	793	21	1272581996864	0	0	bcc2faa9590190783bd9e28a3a7f
user16	795	19	1272581996872	0	0	bcc2faa9590190783bd9e28a3a7f
user16	796	17	1272581996880	0	0	bcc2faa9590190783bd9e28a3a7f
user16	797	17	1272581996888	0	0	bcc2faa9590190783bd9e28a3a7f
user16	799	14	1272581996896	0	0	bcc2faa9590190783bd9e28a3a7f
user16	799	13	1272581996904	0	0	bcc2faa9590190783bd9e28a3a7f
